voltage,current,time,date
3276,0098,12:58:11,26/02/25
3793,0469,12:58:20,26/02/25
3846,0468,12:58:30,26/02/25
3936,0467,12:58:40,26/02/25
3943,0466,12:58:50,26/02/25
3974,0466,12:59:00,26/02/25
3997,0465,12:59:10,26/02/25
4028,0465,12:59:20,26/02/25
4054,0465,12:59:30,26/02/25
4066,0464,12:59:40,26/02/25
4087,0463,12:59:50,26/02/25
4101,0463,13:00:00,26/02/25
4135,0463,13:00:10,26/02/25
4176,0456,13:00:20,26/02/25
4175,0453,13:00:30,26/02/25
4178,0440,13:00:40,26/02/25
4178,0427,13:00:50,26/02/25
4175,0419,13:01:00,26/02/25
4177,0411,13:01:10,26/02/25
4178,0406,13:01:20,26/02/25
4178,0399,13:01:30,26/02/25
4176,0393,13:01:40,26/02/25
4180,0388,13:01:50,26/02/25
4179,0382,13:02:00,26/02/25
4179,0379,13:02:10,26/02/25
4180,0374,13:02:20,26/02/25
4179,0369,13:02:30,26/02/25
4180,0365,13:02:40,26/02/25
4181,0363,13:02:50,26/02/25
4179,0359,13:03:00,26/02/25
4182,0358,13:03:10,26/02/25
4181,0354,13:03:20,26/02/25
4180,0353,13:03:30,26/02/25
4180,0350,13:03:40,26/02/25
4179,0348,13:03:50,26/02/25
4180,0346,13:04:00,26/02/25
4180,0346,13:04:10,26/02/25
4179,0343,13:04:20,26/02/25
4179,0341,13:04:30,26/02/25
4179,0340,13:04:40,26/02/25
4181,0338,13:04:50,26/02/25
4180,0336,13:05:00,26/02/25
4180,0336,13:05:10,26/02/25
4180,0333,13:05:20,26/02/25
4179,0333,13:05:30,26/02/25
4179,0330,13:05:40,26/02/25
4180,0331,13:05:50,26/02/25
4179,0327,13:06:00,26/02/25
4181,0327,13:06:10,26/02/25
4179,0325,13:06:20,26/02/25
4183,0325,13:06:30,26/02/25
4180,0323,13:06:40,26/02/25
4181,0322,13:06:50,26/02/25
4180,0321,13:07:00,26/02/25
4181,0319,13:07:10,26/02/25
4181,0318,13:07:20,26/02/25
4180,0317,13:07:30,26/02/25
4180,0315,13:07:40,26/02/25
4179,0311,13:07:50,26/02/25
4182,0306,13:08:00,26/02/25
4182,0299,13:08:10,26/02/25
4180,0294,13:08:20,26/02/25
4181,0292,13:08:30,26/02/25
4183,0293,13:08:40,26/02/25
4178,0292,13:08:50,26/02/25
4180,0291,13:09:00,26/02/25
4180,0291,13:09:10,26/02/25
4181,0288,13:09:20,26/02/25
4180,0286,13:09:30,26/02/25
4180,0285,13:09:40,26/02/25
4178,0282,13:09:50,26/02/25
4180,0281,13:10:00,26/02/25
4180,0276,13:10:10,26/02/25
4180,0274,13:10:20,26/02/25
4181,0274,13:10:30,26/02/25
4180,0273,13:10:40,26/02/25
4180,0271,13:10:50,26/02/25
4180,0269,13:11:00,26/02/25
